pdl_id,cluster
683877419832,3
685469876576,0
687491646215,3
687614166407,9
688581497117,8
688684495583,9
691676578586,6
695799524664,5
696874601520,9
696919189849,0
702601812075,7
704732935585,0
707528840314,8
708926547970,8
711466802054,0
711954092132,1
713142020168,3
714130684131,9
718268169857,0
727941794770,5
728535918634,3
731628519845,6
733176370329,5
734296456453,7
737799359531,5
740636461664,5
741808060517,5
743056316867,0
745536967686,4
747298632726,3
747826355688,6
748548747258,0
748861601578,0
751401165309,6
752185453913,0
755020396264,0
755200733357,2
755491831973,9
756106530982,9
758839222703,8
760993038779,0
761375252872,0
763769451041,3
767604601191,9
768636443453,0
770070819764,9
776276895631,5
777953998828,0
787446444604,0
788733311230,8
788807531441,9
790099378712,0
793569630032,9
795586183228,2
797323407130,2
799406950356,5
802796690791,5
803138688295,0
806599957916,8
809181497950,8
809821621799,8
810601431356,8
811097209910,7
811748983541,9
813107284808,0
816622139539,5
817600743266,5
817880574087,0
818376322112,9
818743231898,8
819088955320,2
819168377451,9
820020964462,0
820741254773,8
828535486044,0
833583169738,0
834037955197,3
834683044992,0
834896551443,5
836642293415,1
837966292495,5
839265047606,3
839745214209,5
841931536160,0
846292610674,9
846756883124,0
847448212579,0
848612010685,0
849368748547,0
850961275723,3
851654668471,5
855010184258,0
857901669557,9
859279459691,8
860801208814,5
866253807498,9
870494197125,9
871802217433,6
872881219073,9
873655333875,9
876397394110,3
876746613047,6
880442713260,9
882767203362,9
884554603261,8
885139960564,5
885451189626,5
888014193986,0
891339182265,9
891887251888,5
897353501656,0
901706045162,5
902339290190,9
906544934073,3
906744822424,5
907064487512,8
910950270213,0
915981024333,8
917755392634,0
919329281161,5
920962379035,9
922574297624,3
925667714699,2
926380538546,8
928974227119,3
933223237175,9
934793460133,3
935965648327,9
937426679169,5
937959014695,3
939841669155,0
941411934827,8
941898944425,2
943197120673,0
944173446468,7
945903519039,0
950515999325,3
951479349769,8
952302704186,0
957360523704,5
959328834899,3
960918250329,5
961387049530,0
961876711247,3
963207341397,0
964935816810,9
965351854183,3
965696549194,0
966872552100,7
967370695976,6
967989340695,0
969277393091,0
974722218596,0
977904197322,9
978167083900,5
978337452097,3
978339260259,3
979083556707,9
979935211716,5
980841892564,8
982647579697,9
986913604470,6
987169196171,0
989609090547,6
990585347886,5
991737052932,7
996032197768,3
996045911412,0
998369588873,9
999957685783,9
